grounding,actionability,tone,safety,customer_text,generated_reply,judge_grounding,human_grounding,judge_actionability,human_actionability,judge_tone,human_tone,judge_safety,human_safety
3.0,3.0,3.0,3.0,Because of Amazon I purchased a product which blasted on day one...n u people asking me to keep cool...where is Surya flames #suryaflam1,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,I am waiting to your mail.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,To whom I have to write back mention the id I will write what you want,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,consider leaving the delivery of packages to the experts at or . Obvious decline in service when it’s logistics.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,3.0,4.0,5.0,have provided all the details in the link sent. Lets see what action is taken now.,Thanks for the heads up. We'll check and reach out to you with an update soon. ^GS,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0
3.0,3.0,3.0,3.0,"Oh yessss la petite livraison qui fait grave plaisir !! C'est mon jour de repos et je vais pouvoir me lancer dans la découverte d'Alrest, Merci 😄 #XenobladeChronicles2",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Can you let me know what the issue is? Do you need any info?,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Order no - 403-7559101-5645129 Return reference - 710398288491 Article name - puma shoes,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,C'est fait merci. Je sais que je peux compter sur Amazon pour régler les problèmes en SAV mais je commence en avoir marre de cumuler les problèmes de livraisons tous transporteurs confondus.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,"Hi, can't access chat as I'm locked out of my account and phone is too expensive since I'm outside the US &amp; I'm sure it's not toll free.",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Please help Your team is not providing support and information properly. They are just ingnoring my request. I need access.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,I ordered the items on preorder a year and a half ago. I can't view the order so I have no idea what's going on and amazon doesn't either,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Et pourquoi il est réservé exclusivement aux membres Prime pendant un petit moment ?,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Please help Your team is not providing support and information properly. They are just ingnoring my request. I need access.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,My package still doesn’t have a tracking number I ordered last week...and no updated email just says not shipped ...,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Done. I am awaiting for my refund.......,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,"Thanks but I have tried that every day since Sunday. ""Still investigating"" - you should send a replacement and investigate afterwards",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Would be great if we could talk about it. I'd like to get the missing part. Or else I may have to buy the whole thing again.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Kindleがダウンロードできないぞーーーー,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Customer care is not capable of solving issues regarding refund and return. Need to speak to senior manager who can solve the prob,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,"A bulb. Great use of packaging there, . Shame the bulb still rattled around inside it.",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,if I cancel an order do I get a refund? It hasn't been dispatched yet does that mean you haven't taken any money yet?,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,I’ve found a parcel at my door that’s not mine.Googled address and it’s not recognised. How do I return it ?,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,thanks for 5180770843835. Will never forget this... will buy my next product from a roadside vendor but #amazon ever...go to hell,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,"Hi, yep left the feedback now. Thanks! 👌🤟🤟",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,I have shared details already but no one contact me..,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Order no - 403-7559101-5645129 Return reference - 710398288491 Article name - puma shoes,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Customer care is not capable of solving issues regarding refund and return. Need to speak to senior manager who can solve the prob,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,"I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,U need to ur mails first.. Are they of any use???,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,"I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?",Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Perfect thank you!,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Actually I have submitted the form. I could fill in the form. Please do see and let me know.,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,Are you blind . I have already given order details in my tweet to which you have replied..,Mock reply: We apologize for the inconvenience. Here is your resolution based on our policy.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
